Name,Volume,Price,Price Change,Price Percent Change
Aditxt Inc. (ADTX),91.2M,7.5,3.13,71.62
Regencell Bioscience Holdings Ltd. (RGC),3.0M,31.6,13.1,70.81
Leishen Energy Holding Co. Ltd. (LSE),580.3K,7.77,2.19,39.25
Blue Hat Interactive Entertainment Technology (BHAT),5.8M,3.41,0.88,34.78
Park Ha Biological Technology Co. Ltd. (PHH),560.3K,10.6,2.71,34.35
Reading International Inc. Cl B (RDIB),72.5K,9.9,2.37,31.47
Heidmar Maritime Holdings Corp. (HMR),22.5M,3.46,0.76,28.15
Tonix Pharmaceuticals Holding Corp. (TNXP),2.7M,20.53,4.25,26.11
Brazil Potash Corp. (GRO),496.6K,3.35,0.68,25.47
USA Rare Earth Inc. (USAR),352.6K,17.35,3.22,22.79
UP Fintech Holding Ltd. ADR (TIGR),30.5M,9.69,1.72,21.58
FinVolution Group ADR (FINV),4.6M,10.72,1.6,17.54
NFT Ltd. (MI),89.8K,2.58,0.38,17.47
NextDecade Corp. (NEXT),4.5M,8.5,1.25,17.24
Wang & Lee Group Inc. (WLGS),425.4K,4.76,0.7,17.24
AlTi Global Inc. (ALTI),210.5K,2.95,0.43,17.06
CNS Pharmaceuticals Inc. (CNSP),217.2K,3.55,0.49,16.01
TuHURA Biosciences Inc. (HURA),341.4K,2.8,0.38,15.7
Harrow Inc. (HROW),2.1M,26.98,3.66,15.69
Tencent Music Entertainment Group ADR (TME),36.5M,15.09,2.03,15.54
LQR House Inc. (YHC),2.1M,2.43,0.31,14.62
Wellgistics Health Inc. (WGRX),53.0K,4.0,0.51,14.61
Phathom Pharmaceuticals Inc. (PHAT),2.4M,5.54,0.7,14.46
HF Foods Group Inc. (HFFG),301.2K,2.79,0.35,14.34
Hycroft Mining Holding Corp. (HYMC),770.0K,3.37,0.41,13.85
Barfresh Food Group Inc. (BRFH),76.9K,3.62,0.44,13.84
Zepp Health Corp. ADR (ZEPP),95.9K,3.63,0.44,13.79
ModivCare Inc. (MODV),399.7K,2.62,0.31,13.42
WideOpenWest Inc. (WOW),765.8K,4.82,0.57,13.41
Abivax S.A. ADR (ABVX),342.1K,6.8,0.8,13.33
IHS Holding Ltd. (IHS),2.7M,4.43,0.52,13.3
E.W. Scripps Co. Cl A (SSP),1.5M,2.92,0.34,13.18
Solaris Energy Infrastructure Inc. (SEI),3.6M,22.97,2.51,12.27
Silynxcom Ltd. (SYNX),51.3K,4.35,0.46,11.83
REGENXBIO Inc. (RGNX),1.6M,7.8,0.8,11.43
Diginex Ltd. (DGNX),53.7K,72.06,7.26,11.2
Niu Technologies ADR (NIU),6.3M,3.9,0.39,11.11
PMGC Holdings Inc. (ELAB),204.7K,4.7,0.47,10.98
Alpha Technology Group Ltd. Cl A (ATGL),65.8K,32.62,3.21,10.91
Elbit Systems Ltd. (ESLT),215.5K,408.53,39.27,10.63
Coeptis Therapeutics Holdings Inc. (COEP),203.8K,9.4,0.9,10.59
NeueHealth Inc. (NEUE),69.6K,5.14,0.48,10.3
Millrose Properties Inc. Cl A (MRP),5.6M,24.24,2.24,10.18
Markforged Holding Corp. (MKFG),85.6K,2.76,0.25,9.96
Advent Technologies Holdings Inc. (ADN),60.3K,5.35,0.47,9.63
Cango Inc. ADR (CANG),759.7K,4.66,0.4,9.39
Lithium Argentina AG (LAR),2.8M,2.51,0.21,9.13
Euroseas Ltd. (ESEA),79.4K,29.84,2.49,9.1
OptimizeRx Corp. (OPRX),673.7K,9.02,0.75,9.07
Virgin Galactic Holdings Inc. (SPCE),3.1M,3.78,0.31,8.93
RF Industries Ltd. (RFIL),78.8K,4.41,0.36,8.89
Aurora Mobile Ltd. ADR (JG),75.1K,10.63,0.86,8.8
Lucid Group Inc. (LCID),180.3M,2.35,0.19,8.8
Heritage Insurance Holdings Inc. (HRTG),322.6K,13.88,1.09,8.52
Mineralys Therapeutics Inc. (MLYS),1.7M,15.43,1.21,8.51
Lixiang Education Holding Co. Ltd. ADR (LXEH),1.3M,10.34,0.81,8.5
BRF S.A. ADR (BRFS),2.4M,3.45,0.26,8.15
Worksport Ltd. (WKSP),504.7K,3.76,0.28,8.14
Laird Superfood Inc. (LSF),69.7K,5.45,0.41,8.13
Bluejay Diagnostics Inc. (BJDX),102.1K,4.4,0.33,8.08
Lifetime Brands Inc. (LCUT),54.4K,5.43,0.4,7.95
DRDGOLD Ltd. ADR (DRD),923.5K,14.52,1.03,7.64
Collective Mining Ltd. (CNL),197.8K,9.18,0.65,7.62
Quantum Computing Inc. (QUBT),87.2M,8.63,0.61,7.61
Prairie Operating Co. (PROP),275.0K,6.26,0.44,7.56
North European Oil Royalty Trust (NRT),81.7K,4.96,0.34,7.36
Airship AI Holdings Inc. Cl A (AISP),1.5M,4.38,0.3,7.35
