Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
TNXP,Tonix Pharmaceuticals Holding Corp.,,23.10 +4.91 (+26.99%),4.91,+26.99%,2.467M,1.503M,129.139M,-,-98.38%,
ALNY,"Alnylam Pharmaceuticals, Inc.",,280.56 +27.02 (+10.66%),27.02,+10.66%,1.925M,678254,36.32B,-,73.06%,
NFE,New Fortress Energy Inc.,,11.29 +0.94 (+9.08%),0.94,+9.08%,2.466M,5.039M,3.091B,-,-65.57%,
SMCI,"Super Micro Computer, Inc.",,42.29 +3.19 (+8.15%),3.19,+8.15%,41.65M,71.362M,25.097B,18.39,-59.80%,
ROOT,"Root, Inc.",,163.91 +11.27 (+7.38%),11.27,+7.38%,545523,545266,2.491B,89.57,183.93%,
CYTK,"Cytokinetics, Incorporated",,46.02 +2.92 (+6.77%),2.92,+6.77%,1.397M,1.486M,5.449B,-,-36.07%,
W,Wayfair Inc.,,33.60 +2.05 (+6.50%),2.05,+6.50%,1.896M,3.738M,4.264B,-,-50.18%,
WGS,GeneDx Holdings Corp.,,102.77 +6.06 (+6.27%),6.06,+6.27%,262455,1.023M,2.885B,-,"1,023.23%",
BA,The Boeing Company,,182.52 +9.69 (+5.61%),9.69,+5.61%,15.525M,7.92M,137.329B,-,-8.48%,
TEM,"Tempus AI, Inc.",,50.82 +2.78 (+5.79%),2.78,+5.79%,5.295M,12.74M,8.752B,-,19.35%,
RIVN,"Rivian Automotive, Inc.",,11.47 +0.59 (+5.38%),0.59,+5.38%,19.365M,31.459M,12.964B,-,0.74%,
CELH,"Celsius Holdings, Inc.",,32.89 +1.64 (+5.24%),1.64,+5.24%,5.168M,9.85M,7.732B,73.08,-66.20%,
IONQ,"IonQ, Inc.",,22.25 +1.11 (+5.25%),1.11,+5.25%,15.345M,24.98M,5.315B,-,125.13%,
ROKU,"Roku, Inc.",,77.50 +3.68 (+4.99%),3.68,+4.99%,3.438M,3.605M,11.311B,-,16.11%,
RDDT,"Reddit, Inc.",,114.38 +5.63 (+5.18%),5.63,+5.18%,4.47M,6.972M,20.692B,-,136.41%,
ASTS,"AST SpaceMobile, Inc.",,25.86 +1.17 (+4.74%),1.17,+4.74%,3.923M,11.674M,8.184B,-,794.57%,
ACHR,Archer Aviation Inc.,,8.68 +0.40 (+4.83%),0.4,+4.83%,14.911M,32.325M,4.709B,-,69.33%,
SIG,Signet Jewelers Limited,,59.06 +2.76 (+4.90%),2.76,+4.90%,1.006M,1.626M,2.569B,-,-38.21%,
GME,GameStop Corp.,,24.60 +1.09 (+4.62%),1.09,+4.62%,2.978M,6.079M,10.989B,122.98,79.47%,
RBLX,Roblox Corporation,,60.60 +2.68 (+4.63%),2.68,+4.63%,5.747M,8.713M,40.438B,-,55.45%,
DSNKY,"Daiichi Sankyo Company, Limited",,25.00 +1.08 (+4.52%),1.08,+4.52%,26815,236477,47.486B,29.07,-26.63%,
SOUN,"SoundHound AI, Inc.",,10.02 +0.43 (+4.43%),0.43,+4.43%,14.189M,53.201M,3.996B,-,56.19%,
OTLY,Oatly Group AB,,9.93 +0.45 (+4.75%),0.45,+4.75%,67042,250897,297.185M,-,-53.07%,
HIMS,"Hims & Hers Health, Inc.",,34.34 +1.47 (+4.47%),1.47,+4.47%,8.033M,20.85M,7.629B,64.79,101.29%,
RH,RH,,243.69 +9.66 (+4.13%),9.66,+4.13%,470103,684361,4.533B,67.69,-21.26%,
TSLA,"Tesla, Inc.",,245.85 +9.59 (+4.06%),9.59,+4.06%,78.615M,88.443M,790.781B,121.11,38.30%,
MUFG,"Mitsubishi UFJ Financial Group, Inc.",,14.91 +0.59 (+4.08%),0.59,+4.08%,47.991M,4.763M,172.068B,13.44,35.44%,
PTON,"Peloton Interactive, Inc.",,6.77 +0.25 (+3.83%),0.25,+3.83%,15.61M,14.59M,2.64B,-,55.24%,
CPRX,"Catalyst Pharmaceuticals, Inc.",,24.11 +0.95 (+4.10%),0.95,+4.10%,995950,1.187M,2.928B,18.40,47.23%,
ZK,ZEEKR Intelligent Technology Holding Limited,,27.19 +0.99 (+3.78%),0.99,+3.78%,501600,645903,6.912B,-,-7.29%,
PINS,"Pinterest, Inc.",,32.60 +1.18 (+3.74%),1.18,+3.74%,6.063M,11.689M,22.107B,12.21,-7.29%,
