,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,MRCY,"Mercury Systems, Inc.",,49.88 +7.79 (+18.51%),7.79,+18.51%,3.383M,485788,2.974B,-,56.68%,
1,CRTO,Criteo S.A.,,45.17 +6.77 (+17.63%),6.77,+17.63%,1.344M,441008,2.493B,26.42,22.15%,
2,MWA,"Mueller Water Products, Inc.",,26.93 +3.85 (+16.68%),3.85,+16.68%,5.49M,1.177M,4.215B,36.39,66.98%,
3,MAT,"Mattel, Inc.",,20.84 +2.77 (+15.33%),2.77,+15.33%,18.288M,3.154M,7.02B,13.27,-5.48%,
4,ERJ,Embraer S.A.,,45.76 +5.91 (+14.83%),5.91,+14.83%,3.508M,1.07M,8.629B,16.89,134.10%,
5,SKY,"Champion Homes, Inc.",,105.27 +12.52 (+13.50%),12.52,+13.50%,1.116M,849998,6.043B,40.80,18.38%,
6,VNET,"VNET Group, Inc.",,8.51 +0.97 (+12.86%),0.97,+12.86%,8.387M,3.415M,2.272B,-,354.09%,
7,NOV,NOV Inc.,,16.43 +1.85 (+12.69%),1.85,+12.69%,13.471M,3.927M,6.393B,6.09,-16.87%,
8,TEM,"Tempus AI, Inc.",,69.18 +7.33 (+11.85%),7.33,+11.85%,22.515M,5.679M,10.892B,-,52.89%,
9,JCI,Johnson Controls International plc,,86.01 +8.72 (+11.28%),8.72,+11.28%,10.701M,3.743M,56.779B,41.35,41.54%,
10,AMTM,"Amentum Holdings, Inc.",,22.68 +2.18 (+10.63%),2.18,+10.63%,4.631M,2.865M,5.518B,-,-30.87%,
11,BB,BlackBerry Limited,,5.08 +0.46 (+9.96%),0.46,+9.96%,29.249M,16.523M,3.005B,-,56.73%,
12,VSH,"Vishay Intertechnology, Inc.",,18.28 +1.64 (+9.86%),1.64,+9.86%,4.675M,2.302M,2.483B,29.48,-23.27%,
13,DNNGY,Ørsted A/S,,13.73 +1.23 (+9.84%),1.23,+9.84%,55805,123981,17.309B,24.96,-31.86%,
14,SAN,"Banco Santander, S.A.",,5.62 +0.49 (+9.55%),0.49,+9.55%,7.239M,3.131M,85.482B,7.30,24.69%,
15,VWDRY,Vestas Wind Systems A/S,,5.06 +0.44 (+9.52%),0.44,+9.52%,182320,730467,15.333B,253.00,-53.69%,
16,FNMA,Federal National Mortgage Association,,5.98 +0.51 (+9.32%),0.51,+9.32%,4.311M,21.864M,6.925B,-,316.13%,
17,SLAB,Silicon Laboratories Inc.,,149.06 +12.46 (+9.12%),12.46,+9.12%,793277,310377,4.837B,-,0.81%,
18,GFF,Griffon Corporation,,80.91 +6.60 (+8.88%),6.6,+8.88%,647446,424074,3.889B,19.13,8.85%,
19,CLS,Celestica Inc.,,143.67 +11.69 (+8.86%),11.69,+8.86%,8.041M,3.148M,16.68B,39.69,232.45%,
20,KD,"Kyndryl Holdings, Inc.",,43.45 +3.53 (+8.84%),3.53,+8.84%,5.096M,2.429M,10.092B,74.91,83.47%,
21,GSK,GSK plc,,37.70 +2.86 (+8.21%),2.86,+8.21%,10.181M,5.091M,76.933B,24.97,-16.94%,
22,PCRFF,Panasonic Holdings Corporation,,11.35 +0.85 (+8.10%),0.85,+8.10%,37592,8320,26.498B,12.34,3.16%,
23,JANX,"Janux Therapeutics, Inc.",,44.65 +3.34 (+8.09%),3.34,+8.09%,982121,1.164M,2.618B,-,377.53%,
24,ATS,ATS Corporation,,28.82 +2.15 (+8.06%),2.15,+8.06%,317062,137828,2.792B,31.67,-39.77%,
25,NMR,"Nomura Holdings, Inc.",,6.98 +0.52 (+8.05%),0.52,+8.05%,1.599M,532652,20.626B,12.25,17.70%,
26,BEAM,Beam Therapeutics Inc.,,27.82 +2.07 (+8.04%),2.07,+8.04%,1.022M,1.166M,2.304B,-,-7.18%,
27,SMCI,"Super Micro Computer, Inc.",,31.49 +2.33 (+7.99%),2.33,+7.99%,81.534M,69.744M,18.439B,15.67,-60.72%,
28,CRUS,"Cirrus Logic, Inc.",,109.34 +7.95 (+7.84%),7.95,+7.84%,1.862M,665864,5.81B,18.60,10.51%,
29,OKLO,Oklo Inc.,,50.50 +3.61 (+7.70%),3.61,+7.70%,26.625M,18.194M,6.908B,-,332.08%,
30,IMVT,"Immunovant, Inc.",,22.51 +1.60 (+7.65%),1.6,+7.65%,1.586M,1.036M,3.823B,-,-40.98%,
31,EA,Electronic Arts Inc.,,130.47 +9.22 (+7.60%),9.22,+7.60%,8.178M,2.737M,34.219B,33.20,-10.12%,
